Gene	Chromosome	Start	End	x	y	z
YBL093C	2	44252	44915	117.592	125.482	108.132
YBL092W	2	45974	46367	116.870	125.013	108.346
YBL091C	2	46561	47177	116.673	124.792	108.391
YBL091C	2	47359	48625	116.508	124.419	108.403
YBL090W	2	48821	49355	116.531	124.032	108.339
YBL089W	2	49570	50950	116.760	123.593	108.188
YBL088C	2	51015	59379	119.561	121.444	106.755
YBL087C	2	59817	60735	122.174	118.480	104.907
YBL086C	2	61198	62599	122.778	117.360	104.285
YBL085W	2	63872	66815	123.609	114.863	102.881
YBL084C	2	67165	69442	123.600	113.014	101.483
YBL083C	2	69709	70135	123.299	112.139	100.638
YBL082C	2	69747	71124	123.160	111.882	100.359
YBL081W	2	71862	72969	122.431	110.980	99.227
YBL080C	2	73066	74692	121.714	110.394	98.340
YBL079W	2	75255	79764	120.251	108.720	96.165
YBL078C	2	80374	80728	119.524	106.995	94.400
YBL077W	2	80894	81326	119.440	106.646	94.081
YBL076C	2	81040	84259	119.287	105.634	93.213
YBL075C	2	84496	86446	119.246	103.959	91.822
YBL074C	2	86719	87787	119.303	103.490	91.287
YBL073W	2	87643	87955	119.333	103.441	91.178
snR56	2	88187	88275	119.360	103.435	91.109
YBL072C	2	88520	89123	119.402	103.471	91.042
YBL071C	2	89455	89554	119.458	103.575	90.999
YBL071W	2	89975	90224	119.516	103.729	90.998
YBL071C	2	90220	90529	119.544	103.818	91.008
YBL070C	2	90602	90923	119.587	103.963	91.033
YBL069W	2	90738	92028	119.660	104.240	91.099
YBL068W	2	91791	92028	119.729	104.521	91.182
YBL068W	2	92411	93395	119.872	105.166	91.403
YBL067C	2	93640	95884	120.187	106.658	91.978
YBL066C	2	98969	100617	121.350	110.731	93.505
YBL064C	2	99872	100634	121.479	111.099	93.639
YBL065W	2	99964	100194	121.429	110.960	93.589
YBL063W	2	101887	105223	122.514	113.714	94.564
YBL062W	2	105309	105690	123.080	115.095	94.948
YBL061C	2	105317	107408	123.257	115.606	95.018
YBL060W	2	107933	109997	123.512	116.759	94.845
YBL059C	2	110126	110541	123.479	117.132	94.527
YBL059W	2	110595	111246	123.429	117.242	94.340
YBL058W	2	111438	112710	123.268	117.375	93.890
YBL057C	2	112802	113447	123.050	117.395	93.383
YBL056W	2	113764	115171	122.710	117.320	92.622
YBL055C	2	115575	116832	122.450	117.320	91.627
YBL054W	2	117591	119169	122.484	117.547	90.406
YBL053W	2	119337	119712	122.665	117.769	89.776
YBL052C	2	119381	121877	122.944	118.049	89.176
YBL051C	2	122755	124762	124.294	119.193	87.519
YBL050W	2	125127	126122	125.313	120.065	86.653
YBL049W	2	126830	127247	126.009	120.758	86.152
YBL048W	2	127301	127613	126.202	120.969	86.029
YBL047C	2	127897	132043	127.230	122.284	85.541
YBL046W	2	132426	133752	128.201	124.036	85.531
YBL045C	2	134145	135519	128.597	125.020	85.764
YBL044W	2	136000	136369	128.845	125.556	85.858
YBL043W	2	136690	137464	128.981	125.777	85.858
YBL042C	2	138343	140263	129.220	125.854	85.633
YBL041W	2	141249	141975	129.321	125.239	85.071
YBL040C	2	142114	142871	129.320	124.812	84.766
YBL039W	2	143395	143575	129.292	124.208	84.364
YBL039C	2	143991	145731	129.213	123.202	83.714
YBL039C	2	144950	145034	129.204	123.106	83.648
YBL038W	2	146189	146888	129.078	122.016	82.837
YBL037W	2	147211	150289	128.840	120.597	81.556
YBL036C	2	150449	151223	128.556	119.412	80.215
YBL035C	2	151495	153613	128.277	118.547	79.016
YBL034C	2	153850	158392	127.596	117.020	76.298
YBL033C	2	158658	159696	127.000	115.809	73.904
YBL032W	2	160186	161332	126.694	115.204	72.654
YBL031W	2	161701	162718	126.414	114.663	71.501
YBL030C	2	163043	164000	126.162	114.185	70.452
YBL029C	2	164490	164775	125.948	113.787	69.561
YBL029W	2	166136	167267	125.510	112.983	67.962
YBL028C	2	167520	167841	125.280	112.566	67.241
YBL027W	2	168425	169379	124.971	112.013	66.373
YBL026W	2	170625	171041	124.435	111.060	65.073
YBL025W	2	171483	171921	124.174	110.600	64.518
YBL024W	2	172536	174591	123.577	109.553	63.389
YBL023C	2	174922	177529	122.663	107.961	61.861
YBL022C	2	177876	181278	121.566	106.039	59.831
YBL021C	2	181662	182097	120.853	104.788	58.355
YBL020W	2	182403	184128	120.441	104.061	57.435
YBL019W	2	184355	185918	119.914	103.125	56.157
YBL018C	2	186000	186477	119.682	102.692	55.405
YBL017C	2	186846	191586	119.457	102.121	53.401
YBL016W	2	192453	193515	120.023	102.664	50.931
YBL015W	2	194124	195705	120.675	103.483	49.694
YBL014C	2	199066	201751	122.821	106.341	46.285
YBL013W	2	202058	203264	123.702	107.568	44.937
YBL012C	2	203408	203810	124.074	108.094	44.379
YBL011W	2	203540	205820	124.493	108.694	43.753
YBL010C	2	206109	206952	125.132	109.702	42.645
YBL009W	2	207196	209227	125.542	110.543	41.567
YBL008W	2	209411	209651	125.750	111.154	40.673
YBL008W	2	209655	212178	125.860	111.747	39.691
YBL007C	2	212634	216369	125.626	113.056	36.933
YBL006C	2	216589	217132	125.147	113.650	35.080
YBL006W	2	216713	216863	125.163	113.637	35.133
YBL005W	2	217472	220403	124.657	113.843	33.649
YBL005W	2	221332	222655	123.822	113.556	31.898
YBL005W	2	221332	226601	123.214	113.010	30.992
YBL004W	2	227638	235120	120.892	109.746	30.381
YBL003C	2	235396	235795	119.789	107.704	32.592
YBL002W	2	236494	236890	119.607	107.262	33.321
YBL001C	2	237154	237469	119.551	107.067	33.710
YBR001C	2	238942	241285	119.695	106.642	35.269
YBR002C	2	241709	242570	120.212	106.813	36.191
YBR003W	2	242810	244232	120.765	107.161	36.721
YBR004C	2	244367	245669	121.545	107.747	37.203
YBR005W	2	245907	246549	122.262	108.318	37.570
YBR006W	2	247011	248505	123.129	108.978	38.134
YBR007C	2	248806	251017	124.261	109.772	39.135
YBR008C	2	252563	254210	125.870	110.723	41.253
YBR009C	2	255370	255682	126.724	111.103	42.867
YBR010W	2	256328	256739	127.064	111.211	43.669
YBR011C	2	257109	257973	127.339	111.258	44.464
YBR012C	2	259144	259564	127.670	111.185	45.872
YBR012W	2	259866	265138	127.741	110.580	48.248
YBR012W	2	259866	261189	127.770	111.030	46.767
YBR013C	2	265489	265879	127.167	109.357	50.565
YBR014C	2	266724	267336	126.871	108.810	51.534
YBR015C	2	267709	269503	126.672	108.350	52.677
YBR016W	2	270246	270633	126.639	108.059	54.021
YBR017C	2	270946	273703	126.827	108.033	55.418
YBR018C	2	274426	275527	127.468	108.461	57.409
YBR019C	2	276252	278352	128.340	109.096	59.154
YBR020W	2	279020	280607	129.435	109.482	60.959
YBR021W	2	281442	283344	130.717	109.520	62.723
YBR022W	2	283737	284271	131.598	109.359	63.778
YBR023C	2	284427	287925	132.883	108.932	65.143
YBR024W	2	289444	290350	135.259	108.479	67.283
YBR025C	2	290680	291865	136.184	108.487	68.007
YBR026C	2	292876	294019	137.702	108.698	69.079
YBR027C	2	294023	294356	138.234	108.823	69.423
YBR028C	2	294424	296002	138.981	109.042	69.881
YBR029C	2	296368	297742	140.347	109.522	70.678
YBR030W	2	298291	299950	141.864	110.025	71.611
YBR031W	2	300165	301254	143.018	110.378	72.365
YBR032W	2	301518	301821	143.710	110.576	72.834
YBR033W	2	301943	304703	144.893	110.891	73.669
YBR034C	2	304929	305976	146.397	111.248	74.793
YBR035C	2	306268	306955	147.202	111.416	75.430
snR161	2	307184	307345	147.643	111.499	75.801
TLC1	2	307586	308887	148.278	111.607	76.372
YBR036C	2	309080	310313	149.189	111.732	77.271
YBR037C	2	310563	311451	149.961	111.806	78.120
YBR038W	2	311896	314788	151.227	111.847	79.732
YBR039W	2	315574	316510	152.521	111.755	81.751
YBR040W	2	316967	317864	153.040	111.660	82.815
YBR041W	2	318265	320275	153.457	111.509	84.232
YBR042C	2	320415	321609	153.545	111.342	85.541
YBR043C	2	321875	323945	153.306	111.132	86.944
YBR044C	2	324336	326058	152.559	110.842	88.601
YBR045C	2	328368	330090	150.331	110.156	91.201
YBR046C	2	330504	331509	149.195	109.734	92.061
YBR047W	2	331830	332358	148.459	109.439	92.500
YBR048W	2	332828	333810	147.592	109.074	92.914
YBR049C	2	334383	336816	145.872	108.299	93.453
YBR050C	2	337180	338197	144.202	107.584	93.736
YBR051W	2	337985	338336	143.824	107.465	93.791
YBR052C	2	338717	339350	143.125	107.291	93.889
YBR053C	2	339672	340749	142.184	107.152	94.012
YBR054W	2	343098	344133	139.469	107.374	94.302
YBR055C	2	344599	347299	137.617	108.058	94.445
YBR056W	2	347876	349382	135.544	108.916	94.540
YBR056W	2	351252	351453	133.583	109.014	94.539
YBR056C	2	351290	351449	133.571	109.013	94.539
YBR057C	2	352190	353291	132.640	108.753	94.499
YBR058C	2	353669	356015	131.287	107.961	94.389
YBR058C	2	356321	356564	130.316	107.037	94.266
YBR059C	2	356858	360185	129.247	105.787	94.270
YBR060C	2	360649	362512	128.290	104.530	95.021
YBR061C	2	364784	365717	128.114	103.947	97.098
YBR062C	2	365973	366598	128.255	103.964	97.915
YBR063C	2	366967	368182	128.506	104.031	98.988
YBR064W	2	367760	368189	128.584	104.030	99.292
YBR065C	2	368581	369676	128.795	103.969	100.088
YBR066C	2	370034	370697	129.006	103.797	100.795
YBR067C	2	372099	372732	129.318	103.271	101.645
YBR068C	2	373857	375687	129.617	102.300	102.125
YBR069C	2	376570	378430	129.901	100.735	102.058
YBR070C	2	379217	379931	130.211	99.816	102.119
YBR071W	2	380407	381043	130.442	99.507	102.288
YBR072W	2	382026	382671	130.840	99.320	102.695
YBR072C	2	382854	383016	131.006	99.326	102.891
YBR073W	2	383106	385983	131.514	99.530	103.557
YBR074W	2	386280	389211	132.719	100.692	105.377
YBR076W	2	390368	391388	133.262	101.405	106.597
YBR076C	2	391344	391611	133.252	101.431	106.712
YBR077C	2	391798	392287	133.211	101.421	106.786
YBR078W	2	393117	394854	132.829	101.151	106.789
YBR079C	2	395376	398271	131.591	100.081	106.077
YBR080C	2	398607	400884	130.078	98.463	104.812
YBR081C	2	401246	405245	128.899	96.328	103.134
YBR082C	2	406621	407163	128.413	93.881	101.203
YBR083W	2	409162	410623	128.657	92.225	99.782
YBR084W	2	411047	413975	129.432	91.636	99.010
YBR084C	2	414179	415255	130.491	91.762	98.698
YBR085W	2	415976	416900	131.578	92.261	98.674
YBR085C	2	418900	419158	133.492	93.455	98.949
YBR086C	2	420194	423035	135.357	94.647	99.482
YBR087W	2	423758	424823	137.208	95.840	100.298
YBR088C	2	424983	425760	137.933	96.309	100.704
YBR089W	2	425176	425776	138.003	96.354	100.746
YBR089C	2	426183	426483	138.567	96.721	101.102
YBR090C	2	426326	427052	138.799	96.872	101.259
YBR091C	2	427148	427478	139.203	97.135	101.543
YBR092C	2	427691	429095	139.873	97.599	102.058
YBR093C	2	429541	430945	140.912	98.449	102.978
YBR094W	2	432029	434291	142.266	99.925	104.525
YBR095C	2	434399	435692	142.957	100.968	105.588
YBR096W	2	436014	436707	143.352	101.737	106.358
YBR097W	2	436944	441309	143.930	103.242	107.987
YBR098W	2	441508	443584	144.049	103.785	109.657
YBR099C	2	442917	443301	144.004	103.720	109.891
YBR101C	2	443814	444687	143.857	103.458	110.330
YBR102C	2	445055	447317	143.438	102.611	110.968
YBR103W	2	447702	449310	142.725	101.052	111.569
YBR103C	2	449313	449457	142.538	100.553	111.778
YBR104W	2	449660	450650	142.434	100.198	111.958
YBR105C	2	450874	451963	142.394	99.792	112.246
YBR106W	2	452651	453218	142.550	99.584	112.580
YBR107C	2	453786	454524	142.839	99.638	112.841
YBR108W	2	454815	457659	143.674	100.196	113.266
YBR109C	2	457912	458356	144.786	101.177	113.635
YBR109W	2	458601	458826	145.134	101.469	113.748
YBR110W	2	458865	460215	145.597	101.807	113.913
YBR111C	2	461171	461867	146.551	102.267	114.326
YBR111W	2	462132	462573	146.886	102.311	114.507
YBR112C	2	462863	465764	147.520	102.064	114.949
YBR113W	2	465559	466042	147.856	101.548	115.299
YBR114W	2	467241	469614	148.135	99.977	115.944
YBR115C	2	469741	473920	147.676	97.863	116.570
YBR116C	2	474192	474720	146.622	96.489	116.821
YBR117C	2	474385	476431	146.092	96.046	116.862
YBR118W	2	477664	479041	143.972	94.864	116.828
YBR119W	2	479331	480317	143.060	94.395	116.812
YBR120C	2	480428	480917	142.700	94.168	116.829
YBR121C	2	481357	483361	142.333	93.805	116.919
YBR121C	2	482319	482478	142.329	93.798	116.922
YBR122C	2	483963	484497	142.486	93.546	117.111
YBR123C	2	484735	486685	143.019	93.447	117.329
YBR124W	2	486500	486860	143.566	93.432	117.504
YBR125C	2	487192	488374	144.380	93.465	117.735
YBR126C	2	488898	490386	145.898	93.655	118.182
YBR126W	2	490843	491050	146.842	93.904	118.530
YBR126W	2	490920	491064	146.874	93.914	118.543
YBR127C	2	491262	492816	147.552	94.186	118.843
YBR128C	2	493074	494109	148.430	94.702	119.322
YBR129C	2	494346	495333	149.023	95.218	119.736
YBR130C	2	495585	496863	149.570	95.890	120.224
YBR131W	2	497156	499271	150.143	97.041	120.981
YBR131C	2	497643	497733	150.017	96.717	120.775
YBR132C	2	499645	501436	150.471	98.218	121.902
YBR133C	2	501797	504281	150.392	98.880	122.893
YBR134W	2	504236	504638	150.151	98.977	123.450
YBR135W	2	504847	505300	149.997	98.956	123.703
YBR136W	2	505661	512768	148.298	97.893	125.312
YBR137W	2	513037	513577	145.952	96.654	125.884
YBR138C	2	513755	515330	145.158	96.368	125.771
YBR139W	2	515657	517184	143.875	96.008	125.353
YBR140C	2	517343	526622	140.143	95.074	123.484
YBR141C	2	527018	528032	138.287	93.133	124.020
YBR141W	2	527160	527256	138.340	93.274	123.918
YBR142W	2	528310	530632	138.060	92.205	124.761
YBR143C	2	530862	532176	137.688	91.218	125.238
YBR144C	2	533228	533543	137.183	90.326	125.322
YBR145W	2	533755	534811	136.882	89.900	125.245
YBR146W	2	535253	536090	136.348	89.244	124.976
YBR147W	2	536568	537459	135.746	88.612	124.541
YBR148W	2	537869	539699	134.827	87.786	123.707
YBR149W	2	539980	541015	133.862	86.977	122.835
YBR150C	2	541202	544487	132.477	85.837	121.774
YBR151W	2	545021	545972	130.829	84.507	120.758
YBR152W	2	546369	547245	129.981	83.831	120.329
YBR153W	2	547453	548188	129.311	83.302	120.030
YBR154C	2	548355	549003	128.733	82.848	119.798
YBR155W	2	549764	550922	127.761	82.084	119.497
YBR156C	2	551097	553194	127.061	81.527	119.458
YBR157C	2	553536	554304	126.736	81.256	119.712
YBR158W	2	556542	558192	127.132	81.513	121.035
YBR159W	2	558678	559722	127.885	82.064	122.179
YBR160W	2	560071	560968	128.501	82.503	123.088
YBR161W	2	561628	562759	129.257	83.016	124.273
YBR162C	2	563197	564565	129.991	83.484	125.502
YBR162W	2	565225	565423	130.596	83.843	126.579
YBR163W	2	565717	567475	131.111	84.128	127.550
YBR164C	2	567869	568421	131.717	84.438	128.760
YBR165W	2	568846	569680	132.137	84.639	129.638
YBR166C	2	569836	571195	132.566	84.888	130.490
YBR167C	2	571462	571885	132.915	85.158	131.101
YBR168W	2	572365	573607	133.257	85.509	131.596
YBR169C	2	573909	575991	133.657	86.127	131.928
YBR170C	2	576338	578081	133.956	86.972	131.712
YBR171W	2	578358	578979	134.057	87.594	131.236
YBR172C	2	579144	581367	134.061	88.248	130.512
YBR173C	2	581720	582167	133.892	88.704	129.730
YBR174C	2	582332	582647	133.797	88.797	129.478
YBR175W	2	582402	583350	133.718	88.844	129.299
YBR176W	2	583714	584653	133.384	88.909	128.696
YBR177C	2	584801	586157	132.941	88.818	128.098
YBR178W	2	586065	586440	132.625	88.691	127.741
YBR179C	2	586541	589109	131.865	88.265	127.018
YBR180W	2	589735	591454	130.292	87.177	125.859
YBR181C	2	591706	592769	129.567	86.813	125.503
YBR182C	2	593500	594859	128.984	86.757	125.454
YBR182C	2	595355	595550	128.766	86.943	125.645
YBR183W	2	596109	597060	128.678	87.252	125.958
YBR184W	2	597357	598929	128.723	87.901	126.613
YBR185C	2	599117	599954	128.922	88.691	127.413
YBR186W	2	600547	602355	129.358	89.673	128.611
YBR187W	2	602628	603471	129.833	90.241	129.611
YBR188C	2	603679	604102	130.123	90.449	130.139
YBR189W	2	604502	605503	130.550	90.625	130.836
YBR190W	2	605960	606272	131.026	90.691	131.534
YBR191W	2	606264	607135	131.295	90.682	131.899
YBR191W	2	607143	607218	131.527	90.651	132.202
YBR192W	2	607646	608780	132.055	90.516	132.850
YBR193C	2	609076	609748	132.721	90.241	133.602
YBR194W	2	610032	610404	133.140	90.018	134.066
YBR195C	2	610608	611877	133.561	89.742	134.548
YBR196C	2	612230	613895	133.986	89.280	135.102
YBR196C	2	614018	614168	134.042	89.033	135.242
YBR196C	2	614520	614625	134.024	88.922	135.266
YBR197C	2	615197	615851	133.903	88.708	135.234
YBR198C	2	616121	618518	133.362	88.330	134.880
YBR199W	2	618903	620298	132.105	87.899	133.895
YBR200W	2	620866	622522	130.971	87.714	132.940
YBR200W	2	622977	623142	130.520	87.779	132.520
YBR201W	2	623571	624207	130.363	87.892	132.347
YBR201C	2	624488	624692	130.292	88.028	132.245
YBR202W	2	625766	628304	130.528	88.811	132.227
YBR203W	2	629162	631937	132.053	90.712	133.052
YBR204C	2	632248	633376	132.799	91.946	133.576
YBR205W	2	633616	634831	132.970	92.623	133.790
YBR206W	2	634595	634919	132.974	92.860	133.847
YBR207W	2	635140	636538	132.883	93.308	133.925
YBR208C	2	636697	642205	131.616	94.500	133.813
YBR209W	2	642577	642895	129.715	95.409	133.736
YBR210W	2	645544	645973	128.007	96.385	134.336
YBR211C	2	646152	647127	127.518	96.696	134.635
YBR212W	2	647880	649899	126.287	97.543	135.643
YBR213W	2	650362	651187	125.297	98.254	136.683
YBR214W	2	651409	652993	124.654	98.569	137.273
YBR215W	2	653350	655312	123.892	98.614	137.742
YBR216C	2	655570	657595	123.345	98.100	137.690
YBR217W	2	657826	658387	123.124	97.429	137.340
YBR218C	2	658701	662244	123.016	95.885	136.305
YBR219C	2	662493	663298	123.048	94.192	134.965
YBR220C	2	662989	664672	123.079	93.573	134.415
YBR221C	2	665147	666248	123.172	92.393	133.263
YBR221W	2	666532	666637	123.231	91.858	132.691
YBR222C	2	666714	668346	123.304	91.306	132.063
YBR223C	2	668657	670292	123.490	90.234	130.712
YBR223W	2	668715	668835	123.418	90.611	131.207
YBR224W	2	670119	670635	123.587	89.763	130.065
YBR225W	2	670621	673324	123.684	88.936	129.014
YBR226C	2	673149	673560	123.668	88.219	128.232
YBR227C	2	673566	675129	123.598	87.703	127.744
YBR228W	2	675307	676222	123.417	86.966	127.152
YBR229C	2	676351	679216	122.990	85.913	126.523
YBR230C	2	679543	680045	122.367	84.863	126.149
YBR230W	2	680356	680557	122.126	84.525	126.082
LSR1	2	680682	681857	121.845	84.162	126.039
YBR231C	2	682173	683085	121.448	83.728	126.074
YBR232C	2	683367	683727	121.231	83.558	126.172
YBR233W	2	683422	684664	121.130	83.506	126.249
YBR233W	2	684971	685256	120.954	83.489	126.475
YBR234C	2	685432	686587	120.848	83.579	126.727
YBR235W	2	686895	690258	120.762	84.347	127.762
YBR236C	2	690377	691688	120.961	85.764	129.161
YBR237W	2	691963	694513	121.202	87.252	130.433
YBR238C	2	695101	697297	121.515	89.364	131.978
YBR239C	2	698348	699938	121.814	91.595	133.331
YBR240C	2	700484	701837	122.015	93.194	134.159
YBR241C	2	702583	704050	122.238	94.907	135.040
YBR242W	2	704664	705381	122.425	96.254	135.750
YBR243C	2	705441	706788	122.549	97.112	136.211
YBR244W	2	707522	708011	122.744	98.405	136.917
YBR245C	2	708144	711534	123.000	100.016	137.820
YBR246W	2	711585	712749	123.285	101.593	138.759
YBR247C	2	712998	714450	123.448	102.182	139.204
YBR248C	2	714801	716460	123.615	102.370	139.536
YBR249C	2	716876	717989	123.739	101.998	139.632
YBR250W	2	719027	720599	123.855	100.699	139.439
YBR251W	2	721384	722308	123.880	98.998	139.018
YBR252W	2	722605	723049	123.829	98.174	138.778
YBR253W	2	723264	723630	123.774	97.664	138.617
YBR254C	2	723730	724258	123.711	97.221	138.468
