Gene	Chromosome	Start	End
YAR035C	1	192330	192411
YAR042W	1	192612	196179
YAR047C	1	201459	201780
YAR050W	1	203393	208007
YAR053W	1	208357	208654
YAR060C	1	217147	217483
YAR061W	1	218130	218334
YAR062W	1	218539	219136
YAR064W	1	220188	220488
YAR066W	1	221039	221651
YAR068W	1	222396	222882
YAR069C	1	224001	224295
YAR070C	1	224553	224853
YAR071W	1	225450	226854
YAR073W	1	227732	228944
YAR075W	1	228834	229308
YBL113W	2	968	1628
YBL112C	2	2581	2899
YBL111C	2	2906	5009
YBL109W	2	5789	6125
YBL108C	2	7604	7733
YBL108W	2	8176	8482
YBL107W	2	9267	9372
YBL107C	2	9960	10354
YBL106C	2	10846	13879
YBL105C	2	14240	17696
YBL104C	2	18176	21293
YBL103C	2	22074	23535
YBL102W	2	24097	24745
YBL101C	2	24945	28299
YBL100W	2	28426	28546
YBL100W	2	29931	31248
YBL100W	2	29931	35245
YBL100C	2	36985	37300
YBL099W	2	37049	38687
YBL098W	2	39141	40524
YBL097W	2	40827	43092
YBL096C	2	43170	43479
YBL095W	2	43273	44086
YBL094C	2	43761	44094
YBL093C	2	44252	44915
YBL092W	2	45974	46367
YBL091C	2	46561	47177
YBL091C	2	47359	48625
YBL090W	2	48821	49355
YBL089W	2	49570	50950
YBL088C	2	51015	59379
YBL087C	2	59817	60735
YBL086C	2	61198	62599
YBL085W	2	63872	66815
YBL084C	2	67165	69442
YBL083C	2	69709	70135
YBL082C	2	69747	71124
YBL081W	2	71862	72969
YBL080C	2	73066	74692
YBL079W	2	75255	79764
YBL078C	2	80374	80728
YBL077W	2	80894	81326
YBL076C	2	81040	84259
YBL075C	2	84496	86446
YBL074C	2	86719	87787
YBL073W	2	87643	87955
snR56	2	88187	88275
YBL072C	2	88520	89123
YBL071C	2	89455	89554
YBL071W	2	89975	90224
YBL071C	2	90220	90529
YBL070C	2	90602	90923
YBL069W	2	90738	92028
YBL068W	2	91791	92028
YBL068W	2	92411	93395
YBL067C	2	93640	95884
YBL066C	2	98969	100617
YBL064C	2	99872	100634
YBL065W	2	99964	100194
YBL063W	2	101887	105223
YBL062W	2	105309	105690
YBL061C	2	105317	107408
YBL060W	2	107933	109997
YBL059C	2	110126	110541
YBL059W	2	110595	111246
YBL058W	2	111438	112710
YBL057C	2	112802	113447
YBL056W	2	113764	115171
YBL055C	2	115575	116832
YBL054W	2	117591	119169
YBL053W	2	119337	119712
YBL052C	2	119381	121877
YBL051C	2	122755	124762
YBL050W	2	125127	126122
YBL049W	2	126830	127247
YBL048W	2	127301	127613
YBL047C	2	127897	132043
YBL046W	2	132426	133752
YBL045C	2	134145	135519
YBL044W	2	136000	136369
YBL043W	2	136690	137464
YBL042C	2	138343	140263
YBL041W	2	141249	141975
YBL040C	2	142114	142871
YBL039W	2	143395	143575
YBL039C	2	143991	145731
YBL039C	2	144950	145034
YBL038W	2	146189	146888
YBL037W	2	147211	150289
YBL036C	2	150449	151223
YBL035C	2	151495	153613
YBL034C	2	153850	158392
YBL033C	2	158658	159696
YBL032W	2	160186	161332
YBL031W	2	161701	162718
YBL030C	2	163043	164000
YBL029C	2	164490	164775
YBL029W	2	166136	167267
YBL028C	2	167520	167841
YBL027W	2	168425	169379
YBL026W	2	170625	171041
YBL025W	2	171483	171921
YBL024W	2	172536	174591
YBL023C	2	174922	177529
YBL022C	2	177876	181278
YBL021C	2	181662	182097
YBL020W	2	182403	184128
YBL019W	2	184355	185918
YBL018C	2	186000	186477
YBL017C	2	186846	191586
YBL016W	2	192453	193515
YBL015W	2	194124	195705
YBL014C	2	199066	201751
YBL013W	2	202058	203264
YBL012C	2	203408	203810
YBL011W	2	203540	205820
YBL010C	2	206109	206952
YBL009W	2	207196	209227
YBL008W	2	209411	209651
YBL008W	2	209655	212178
YBL007C	2	212634	216369
YBL006C	2	216589	217132
YBL006W	2	216713	216863
YBL005W	2	217472	220403
YBL005W	2	221332	222655
YBL005W	2	221332	226601
YBL004W	2	227638	235120
YBL003C	2	235396	235795
YBL002W	2	236494	236890
YBL001C	2	237154	237469
YBR001C	2	238942	241285
YBR002C	2	241709	242570
YBR003W	2	242810	244232
YBR004C	2	244367	245669
YBR005W	2	245907	246549
YBR006W	2	247011	248505
YBR007C	2	248806	251017
YBR008C	2	252563	254210
YBR009C	2	255370	255682
YBR010W	2	256328	256739
YBR011C	2	257109	257973
YBR012C	2	259144	259564
YBR012W	2	259866	265138
YBR012W	2	259866	261189
YBR013C	2	265489	265879
YBR014C	2	266724	267336
YBR015C	2	267709	269503
YBR016W	2	270246	270633
YBR017C	2	270946	273703
YBR018C	2	274426	275527
YBR019C	2	276252	278352
YBR020W	2	279020	280607
YBR021W	2	281442	283344
YBR022W	2	283737	284271
YBR023C	2	284427	287925
YBR024W	2	289444	290350
YBR025C	2	290680	291865
YBR026C	2	292876	294019
YBR027C	2	294023	294356
YBR028C	2	294424	296002
YBR029C	2	296368	297742
YBR030W	2	298291	299950
YBR031W	2	300165	301254
YBR032W	2	301518	301821
YBR033W	2	301943	304703
YBR034C	2	304929	305976
YBR035C	2	306268	306955
snR161	2	307184	307345
TLC1	2	307586	308887
YBR036C	2	309080	310313
YBR037C	2	310563	311451
YBR038W	2	311896	314788
YBR039W	2	315574	316510
YBR040W	2	316967	317864
YBR041W	2	318265	320275
YBR042C	2	320415	321609
YBR043C	2	321875	323945
YBR044C	2	324336	326058
YBR045C	2	328368	330090
YBR046C	2	330504	331509
YBR047W	2	331830	332358
YBR048W	2	332828	333810
YBR049C	2	334383	336816
YBR050C	2	337180	338197
YBR051W	2	337985	338336
YBR052C	2	338717	339350
YBR053C	2	339672	340749
YBR054W	2	343098	344133
YBR055C	2	344599	347299
YBR056W	2	347876	349382
YBR056W	2	351252	351453
YBR056C	2	351290	351449
YBR057C	2	352190	353291
YBR058C	2	353669	356015
YBR058C	2	356321	356564
YBR059C	2	356858	360185
YBR060C	2	360649	362512
YBR061C	2	364784	365717
YBR062C	2	365973	366598
YBR063C	2	366967	368182
YBR064W	2	367760	368189
YBR065C	2	368581	369676
YBR066C	2	370034	370697
YBR067C	2	372099	372732
YBR068C	2	373857	375687
YBR069C	2	376570	378430
YBR070C	2	379217	379931
YBR071W	2	380407	381043
YBR072W	2	382026	382671
YBR072C	2	382854	383016
YBR073W	2	383106	385983
YBR074W	2	386280	389211
YBR076W	2	390368	391388
YBR076C	2	391344	391611
YBR077C	2	391798	392287
YBR078W	2	393117	394854
YBR079C	2	395376	398271
YBR080C	2	398607	400884
YBR081C	2	401246	405245
YBR082C	2	406621	407163
YBR083W	2	409162	410623
YBR084W	2	411047	413975
YBR084C	2	414179	415255
YBR085W	2	415976	416900
YBR085C	2	418900	419158
YBR086C	2	420194	423035
YBR087W	2	423758	424823
YBR088C	2	424983	425760
YBR089W	2	425176	425776
YBR089C	2	426183	426483
YBR090C	2	426326	427052
YBR091C	2	427148	427478
YBR092C	2	427691	429095
YBR093C	2	429541	430945
YBR094W	2	432029	434291
YBR095C	2	434399	435692
YBR096W	2	436014	436707
YBR097W	2	436944	441309
YBR098W	2	441508	443584
YBR099C	2	442917	443301
YBR101C	2	443814	444687
YBR102C	2	445055	447317
YBR103W	2	447702	449310
YBR103C	2	449313	449457
YBR104W	2	449660	450650
YBR105C	2	450874	451963
YBR106W	2	452651	453218
YBR107C	2	453786	454524
YBR108W	2	454815	457659
YBR109C	2	457912	458356
YBR109W	2	458601	458826
YBR110W	2	458865	460215
YBR111C	2	461171	461867
YBR111W	2	462132	462573
YBR112C	2	462863	465764
YBR113W	2	465559	466042
YBR114W	2	467241	469614
YBR115C	2	469741	473920
YBR116C	2	474192	474720
YBR117C	2	474385	476431
YBR118W	2	477664	479041
YBR119W	2	479331	480317
YBR120C	2	480428	480917
YBR121C	2	481357	483361
YBR121C	2	482319	482478
YBR122C	2	483963	484497
YBR123C	2	484735	486685
YBR124W	2	486500	486860
YBR125C	2	487192	488374
YBR126C	2	488898	490386
YBR126W	2	490843	491050
YBR126W	2	490920	491064
YBR127C	2	491262	492816
YBR128C	2	493074	494109
YBR129C	2	494346	495333
YBR130C	2	495585	496863
YBR131W	2	497156	499271
YBR131C	2	497643	497733
YBR132C	2	499645	501436
YBR133C	2	501797	504281
YBR134W	2	504236	504638
YBR135W	2	504847	505300
YBR136W	2	505661	512768
YBR137W	2	513037	513577
YBR138C	2	513755	515330
YBR139W	2	515657	517184
YBR140C	2	517343	526622
YBR141C	2	527018	528032
YBR141W	2	527160	527256
YBR142W	2	528310	530632
YBR143C	2	530862	532176
YBR144C	2	533228	533543
YBR145W	2	533755	534811
YBR146W	2	535253	536090
YBR147W	2	536568	537459
YBR148W	2	537869	539699
YBR149W	2	539980	541015
YBR150C	2	541202	544487
YBR151W	2	545021	545972
YBR152W	2	546369	547245
YBR153W	2	547453	548188
YBR154C	2	548355	549003
YBR155W	2	549764	550922
YBR156C	2	551097	553194
YBR157C	2	553536	554304
YBR158W	2	556542	558192
YBR159W	2	558678	559722
YBR160W	2	560071	560968
YBR161W	2	561628	562759
YBR162C	2	563197	564565
YBR162W	2	565225	565423
YBR163W	2	565717	567475
YBR164C	2	567869	568421
YBR165W	2	568846	569680
YBR166C	2	569836	571195
YBR167C	2	571462	571885
YBR168W	2	572365	573607
YBR169C	2	573909	575991
YBR170C	2	576338	578081
YBR171W	2	578358	578979
YBR172C	2	579144	581367
YBR173C	2	581720	582167
YBR174C	2	582332	582647
YBR175W	2	582402	583350
YBR176W	2	583714	584653
YBR177C	2	584801	586157
YBR178W	2	586065	586440
YBR179C	2	586541	589109
YBR180W	2	589735	591454
YBR181C	2	591706	592769
YBR182C	2	593500	594859
YBR182C	2	595355	595550
YBR183W	2	596109	597060
YBR184W	2	597357	598929
YBR185C	2	599117	599954
YBR186W	2	600547	602355
YBR187W	2	602628	603471
YBR188C	2	603679	604102
YBR189W	2	604502	605503
YBR190W	2	605960	606272
YBR191W	2	606264	607135
YBR191W	2	607143	607218
YBR192W	2	607646	608780
YBR193C	2	609076	609748
YBR194W	2	610032	610404
YBR195C	2	610608	611877
YBR196C	2	612230	613895
YBR196C	2	614018	614168
YBR196C	2	614520	614625
YBR197C	2	615197	615851
YBR198C	2	616121	618518
YBR199W	2	618903	620298
YBR200W	2	620866	622522
YBR200W	2	622977	623142
YBR201W	2	623571	624207
YBR201C	2	624488	624692
YBR202W	2	625766	628304
YBR203W	2	629162	631937
YBR204C	2	632248	633376
YBR205W	2	633616	634831
YBR206W	2	634595	634919
YBR207W	2	635140	636538
YBR208C	2	636697	642205
YBR209W	2	642577	642895
YBR210W	2	645544	645973
YBR211C	2	646152	647127
YBR212W	2	647880	649899
YBR213W	2	650362	651187
YBR214W	2	651409	652993
YBR215W	2	653350	655312
YBR216C	2	655570	657595
YBR217W	2	657826	658387
YBR218C	2	658701	662244
YBR219C	2	662493	663298
YBR220C	2	662989	664672
YBR221C	2	665147	666248
YBR221W	2	666532	666637
YBR222C	2	666714	668346
YBR223C	2	668657	670292
YBR223W	2	668715	668835
YBR224W	2	670119	670635
YBR225W	2	670621	673324
YBR226C	2	673149	673560
YBR227C	2	673566	675129
YBR228W	2	675307	676222
YBR229C	2	676351	679216
YBR230C	2	679543	680045
YBR230W	2	680356	680557
LSR1	2	680682	681857
YBR231C	2	682173	683085
YBR232C	2	683367	683727
YBR233W	2	683422	684664
YBR233W	2	684971	685256
YBR234C	2	685432	686587
YBR235W	2	686895	690258
YBR236C	2	690377	691688
YBR237W	2	691963	694513
YBR238C	2	695101	697297
YBR239C	2	698348	699938
YBR240C	2	700484	701837
YBR241C	2	702583	704050
YBR242W	2	704664	705381
YBR243C	2	705441	706788
YBR244W	2	707522	708011
YBR245C	2	708144	711534
YBR246W	2	711585	712749
YBR247C	2	712998	714450
YBR248C	2	714801	716460
YBR249C	2	716876	717989
YBR250W	2	719027	720599
YBR251W	2	721384	722308
YBR252W	2	722605	723049
YBR253W	2	723264	723630
YBR254C	2	723730	724258
YBR255W	2	724450	726535
YBR255C	2	726612	727069
YBR256C	2	727380	728097
YBR257W	2	728879	729719
YBR258C	2	729728	730157
YBR259W	2	730381	732448
YBR260C	2	732633	734634
YBR261C	2	734826	735525
YBR262C	2	735714	736035
YBR263W	2	736258	737731
YBR264C	2	737764	738364
YBR265W	2	738576	739539
YBR267W	2	739835	741017
YBR266C	2	739930	740383
YBR268W	2	741293	741611
YBR269C	2	742154	742571
YBR270C	2	742755	744393
YBR271W	2	744846	746106
YBR272C	2	746355	747798
YBR273C	2	748055	749366
YBR274W	2	749588	751172
YBR275C	2	751350	757101
YBR276C	2	757615	760039
YBR277C	2	760210	760612
YBR278W	2	760289	760895
YBR279W	2	761252	762590
YBR280C	2	762779	764693
YBR281C	2	764965	767602
YBR282W	2	768235	768676
YBR283C	2	768938	770411
YBR284W	2	771234	773628
YBR285W	2	773917	774352
YBR286W	2	774695	776309
YBR287W	2	776566	777850
YBR288C	2	778007	779459
YBR289W	2	779662	782380
YBR290W	2	782586	783552
YBR291C	2	783668	784568
YBR292C	2	784697	785069
YBR293W	2	787000	788425
YBR294W	2	789229	791809
YBR295W	2	792842	796493
YBR296C	2	796791	798516
YBR296C	2	800116	800236
YBR297W	2	800516	801923
YBR298C	2	802624	804469
YBR298C	2	805028	805250
YBR299W	2	805344	807099
YBR300C	2	808593	809091
YBR301W	2	809050	809413
YBR302C	2	810333	811473
YCL076W	3	891	1639
YCL075W	3	2125	2566
YCL074W	3	2823	3750
YCL073C	3	6478	8326
YCL069W	3	9705	10623
YCL068C	3	11502	12285
YCL067C	3	12385	13018
YCL066W	3	13281	13809
YCL065W	3	13750	14119
YCL064C	3	15797	16880
YCL063W	3	17289	18561
YCL061C	3	18815	22106
YCL059C	3	22428	23379
YCL058C	3	23522	23981
YCL058W	3	23583	23925
YCL057C	3	24031	24325
YCL057W	3	24767	26906
YCL056C	3	26924	27359
YCL055W	3	27928	28936
YCL054W	3	31448	33974
YCL052C	3	34142	35393
YCL051W	3	35864	37616
YCL050C	3	37835	38801
YCL049C	3	39785	40724
YCL048W	3	41487	41727
YCL048W	3	42164	43556
YCL047C	3	43660	44437
YCL045C	3	44622	46905
YCL046W	3	46639	46963
YCL044C	3	47110	48364
YCL043C	3	48652	50221
YCL041C	3	50132	50627
YCL042W	3	50583	50943
YCL040W	3	50837	52340
YCL039W	3	52644	54882
YCL038C	3	54940	56527
YCL037C	3	57373	58678
YCL036W	3	59025	60726
YCL035C	3	60840	61173
YCL034W	3	61657	62722
YCL033C	3	62775	63282
YCL032W	3	63440	64481
YCL031C	3	64674	65568
YCL030C	3	65933	68333
YCL029C	3	68598	69921
YCL028W	3	70149	71367
YCL027W	3	71802	73341
YCL026C	3	73404	73986
YCL026C	3	74703	75285
YCL025C	3	76017	77919
YCL023C	3	78948	79296
YCL024W	3	79161	82275
YCL022C	3	81569	82085
YCL021W	3	83619	83997
YCL020W	3	85101	86418
YCL019W	3	85101	90415
YCL018W	3	91323	92418
YCL017C	3	92776	94270
YCL016C	3	94620	95763
YCL014W	3	99555	101691
YCL012C	3	101316	101788
YCL011C	3	102074	103358
YCL010C	3	103570	104350
YCL009C	3	104618	105548
YCL008C	3	105695	106853
YCL007C	3	106973	107366
YCL005W	3	107022	107417
snR43	3	107503	107712
YCL005W	3	108020	108791
YCL004W	3	109104	110670
YCL002C	3	110842	111674
YCL001W	3	111913	112480
YCL001W	3	113077	113539
YCL001W	3	113767	114022
YCR001W	3	115682	115997
YCR002C	3	117377	118346
YCR003W	3	118617	119169
YCR004C	3	119572	120316
YCR005C	3	120943	122326
YCR006C	3	122527	123001
YCR007C	3	126008	126728
YCR008W	3	128467	130279
YCR009C	3	130742	131540
YCR010C	3	132270	133122
YCR011C	3	133721	136871
YCR012W	3	137743	138994
YCR013C	3	138399	139047
YCR014C	3	139182	140931
YCR015C	3	141214	142168
snR33	3	142361	142544
YCR016W	3	143631	144504
YCR017C	3	144770	147632
YCR018C	3	148235	148901
YCR018C	3	151605	151860
YCR019W	3	152834	153926
YCR020C	3	154009	154657
YCR020C	3	154827	155094
YCR020W	3	155317	155554
YCR021C	3	156104	157103
YCR022C	3	157416	157761
YCR023C	3	158533	160369
YCR024C	3	160739	162218
YCR024C	3	162594	162861
YCR024C	3	162940	163063
YCR025C	3	163441	163852
YCR026C	3	164106	166335
YCR027C	3	167365	167995
YCR028C	3	170881	172420
YCR028C	3	172945	173436
YCR030C	3	173821	176434
snR65	3	177178	177278
YCR031C	3	177495	178216
snR189	3	178605	178794
YCR032W	3	179515	186019
YCR033W	3	186484	190165
YCR034W	3	190587	191631
YCR035C	3	191829	193014
YCR036W	3	193292	194294
YCR037C	3	194409	197181
YCR038C	3	197616	199545
YCR038W	3	199288	199414
YCR039C	3	199541	200174
YCR040W	3	200437	200965
YCR041W	3	200906	201239
YCR042C	3	201169	205393
YCR043C	3	206256	206640
YCR044C	3	206872	207946
YCR045C	3	208130	209606
YCR045W	3	208746	209097
YCR046C	3	209909	210419
YCR047C	3	210713	211541
YCR047W	3	211296	211503
YCR049C	3	211866	212313
YCR048W	3	211924	213757
YCR050C	3	213459	213768
YCR051W	3	214066	214735
YCR052W	3	214989	216441
YCR053W	3	216692	218237
YCR054C	3	218371	220063
YCR057C	3	220452	223224
YCR059C	3	223449	224226
YCR060W	3	224394	224730
YCR061W	3	225558	227454
YCR064C	3	228090	228501
YCR063W	3	228313	228787
YCR065W	3	229305	231000
YCR066W	3	231495	232959
YCR067C	3	233120	236318
YCR068W	3	237209	238772
YCR069W	3	239050	240007
YCR071C	3	240098	240539
YCR072C	3	240800	242348
YCR073C	3	242584	246580
YCR073W	3	246959	247907
YCR075C	3	248029	248812
YCR075W	3	248971	249199
YCR076C	3	249289	250042
YCR077C	3	250234	252625
YCR079W	3	252841	254170
YCR081W	3	254367	258651
YCR081C	3	258411	258648
YCR082W	3	258879	259266
YCR083W	3	259574	259958
YCR084C	3	260307	262449
YCR085W	3	262912	263266
YCR086W	3	263388	263961
YCR087W	3	263972	264488
YCR087C	3	264002	264464
YCR088W	3	265064	266843
YCR089W	3	267430	272260
YCR090C	3	272311	272860
YCR091W	3	274400	276563
YCR092C	3	276760	279817
YCR093W	3	280113	286440
YCR094W	3	286758	287934
YCR095C	3	288166	289255
YCR095W	3	289635	289794
YCR096C	3	293175	293535
YCR097W	3	293831	294318
YCR097W	3	294435	294702
YCR098C	3	297045	298602
YCR099C	3	300828	301296
YCR100C	3	301267	302218
YCR101C	3	302478	303027
YCR102C	3	304357	305464
YCR102W	3	306731	306929
YCR104W	3	307797	308172
YCR105W	3	309066	310152
YCR106W	3	310954	313453
YCR107W	3	313886	314978
YCR108C	3	315993	316185
YDL248W	4	1801	2953
YDL247W	4	3761	3836
YDL247W	4	5984	7814
YDL246C	4	8682	9756
YDL245C	4	11656	13360
YDL244W	4	16203	17226
YDL243C	4	17576	18566
YDL242W	4	18958	19312
YDL241W	4	20634	21006
YDL240C	4	22470	22608
YDL240W	4	22822	25876
YDL239C	4	26402	28775
YDL238C	4	28984	30454
YDL237W	4	30656	31829
YDL236W	4	32295	33234
YDL235C	4	33414	33918
YDL234C	4	34237	36478
YDL233W	4	36797	38174
YDL232W	4	38487	38598
YDL231C	4	38867	42245
YDL230W	4	42700	43708
YDL229W	4	44065	45907
YDL228C	4	45277	45919
YDL227C	4	46271	48032
YDL226C	4	51115	52174
YDL225W	4	52445	54101
YDL224C	4	54397	56347
YDL223C	4	57265	60406
YDL222C	4	60872	61802
YDL221W	4	62011	62563
YDL220C	4	62244	65019
YDL219W	4	65242	65766
YDL218W	4	66493	67447
YDL217C	4	67983	68607
YDL216C	4	68997	70320
YDL215C	4	70640	73919
YDL214C	4	74446	76546
YDL213C	4	77289	77967
YDL212W	4	78426	79059
YDL211C	4	79294	80413
YDL210W	4	84270	85986
YDL209C	4	86207	87227
YDL208W	4	87512	87983
YDL207W	4	88248	89865
YDL206W	4	90176	92465
YDL205C	4	92762	93746
YDL204W	4	94605	95787
YDL203C	4	96082	97954
YDL202W	4	98475	99225
YDL201W	4	99849	100422
YDL200C	4	100501	101068
YDL199C	4	101290	103354
YDL198C	4	103649	104552
YDL197C	4	104917	106495
YDL196W	4	106741	107071
YDL195W	4	107208	111030
YDL194W	4	111580	114235
YDL193W	4	114672	115800
YDL192W	4	116321	116867
YDL191W	4	117664	118518
YDL190C	4	118707	121593
YDL189W	4	122216	123590
YDL188C	4	123865	124999
YDL187C	4	125509	125839
YDL186W	4	125616	126450
YDL185C	4	126608	126836
YDL185W	4	126787	130003
YDL184C	4	130407	130485
YDL183C	4	130871	131834
YDL182W	4	133437	134724
YDL181W	4	135179	135437
YDL180W	4	135896	137540
YDL179W	4	138291	139206
YDL178W	4	139522	141115
YDL177C	4	141209	141722
YDL176W	4	142097	144224
YDL175C	4	144484	145519
YDL174C	4	145826	147590
YDL173W	4	148191	149079
YDL172C	4	148607	149087
YDL171C	4	149203	155641
YDL170W	4	156318	157905
YDL169C	4	158064	158736
YDL168W	4	159604	160765
YDL167C	4	160995	163155
YDL166C	4	163449	164043
YDL165W	4	164290	164866
YDL164C	4	164987	167255
YDL163W	4	166956	167259
YDL162C	4	167359	167716
YDL161W	4	167714	169079
YDL160C	4	169366	169609
YDL160C	4	170410	171931
YDL159W	4	172182	172314
YDL159W	4	172481	174029
YDL159C	4	173056	173233
YDL158C	4	173866	174175
YDL157C	4	174232	174589
YDL156W	4	174918	176487
YDL155W	4	176773	178057
YDL154W	4	178334	181040
YDL153C	4	181186	183019
YDL152W	4	182822	183188
YDL151C	4	183318	183900
YDL150W	4	183343	184612
YDL149W	4	184925	187919
YDL148C	4	188154	190587
YDL147W	4	190924	192262
YDL146W	4	192750	194226
YDL145C	4	194571	198177
YDL144C	4	198662	199733
YDL143W	4	199996	201583
YDL142C	4	201719	202571
YDL141W	4	203039	205112
YDL140C	4	205360	210562
YDL139C	4	211375	212047
YDL138W	4	213351	215643
YDL137W	4	216528	217074
YDL136W	4	217599	218367
YDL135C	4	218679	219288
YDL134C	4	219661	220771
YDL133C	4	221723	221801
YDL133W	4	222426	223740
YDL132W	4	224303	226751
YDL131W	4	227392	228715
YDL130W	4	229170	229431
YDL130W	4	229905	230527
YDL129W	4	231023	231899
YDL128W	4	232651	233887
YDL127W	4	234926	235853
YDL126C	4	236156	238664
YDL125C	4	239018	239606
YDL124W	4	240258	241197
YDL123W	4	241417	241840
YDL122W	4	242551	244981
YDL121C	4	245132	245582
YDL120W	4	245922	246447
YDL119C	4	246688	247612
YDL118W	4	247301	247682
YDL117W	4	248580	251238
YDL116W	4	251565	253746
YDL115C	4	253994	255126
YDL114W	4	254934	255048
YDL114W	4	255603	256530
YDL113C	4	256632	258555
YDL112W	4	258914	263225
YDL111C	4	263312	264110
YDL110C	4	264511	264964
YDL109C	4	265257	267201
YDL108W	4	267697	268699
YDL107W	4	268920	269976
YDL106C	4	270221	271901
YDL105W	4	272388	273597
YDL104C	4	273652	274876
YDL103C	4	275147	276581
YDL102W	4	276871	280165
YDL101C	4	280306	281848
YDL100C	4	282111	283176
YDL099W	4	283418	284444
YDL098C	4	284580	285165
YDL097C	4	285390	286695
YDL096C	4	286997	287324
YDL095W	4	287058	289512
YDL094C	4	289571	290081
YDL093W	4	289908	292140
YDL092W	4	292780	293221
YDL091C	4	293391	294759
YDL090C	4	295033	296329
YDL089W	4	296819	298274
YDL088C	4	298416	300003
YDL087C	4	300213	300999
YDL086W	4	301412	302234
YDL086C	4	301654	302089
YDL085C	4	302463	302670
YDL085W	4	303210	304848
YDL084W	4	305236	306577
YDL083C	4	306925	307789
YDL082W	4	308423	309388
YDL081C	4	309801	310122
YDL080C	4	310641	312471
YDL079C	4	312950	314748
YDL078C	4	315356	316388
YDL077C	4	316970	320120
YDL076C	4	320667	321552
YDL075W	4	322225	322988
snR63	4	323216	323471
YDL074C	4	324046	326149
YDL073W	4	326612	329567
YDL072C	4	329835	330447
YDL071C	4	330666	331041
YDL070W	4	331024	332941
YDL069C	4	333120	333810
YDL068W	4	333499	333829
YDL067C	4	334216	334396
YDL066W	4	334834	336121
YDL065C	4	336248	337277
YDL064W	4	337486	338070
YDL063C	4	338271	340134
YDL062W	4	339856	340282
YDL061C	4	340627	340798
YDL060W	4	341618	343985
YDL059C	4	344236	344953
YDL058W	4	345664	351037
YDL057W	4	351433	352420
YDL056W	4	352876	355378
YDL055C	4	355673	356759
YDL054C	4	359824	361285
YDL053C	4	361698	362256
YDL052C	4	362671	363583
YDL051W	4	363951	364779
YDL050C	4	364445	364817
YDL049C	4	365067	365874
YDL048C	4	366738	368211
YDL047W	4	369768	370704
YDL046W	4	371236	371758
YDL045W	4	372244	372532
YDL045C	4	372684	373605
YDL044C	4	373963	375286
YDL043C	4	375676	376477
YDL042C	4	376753	378442
